0,1,2,3,4,5,6,7,8,9
36,3,2,1,2,2,2,1,0,1
2,41,0,0,1,2,0,3,1,0
2,3,33,6,1,1,2,0,2,0
1,1,1,39,0,5,2,1,0,0
1,4,0,4,27,8,3,2,1,0
1,2,2,4,2,32,2,1,2,2
3,2,0,0,1,0,42,0,1,1
0,0,2,0,1,1,0,44,0,2
1,0,2,1,1,1,0,2,42,0
0,0,2,0,1,0,2,2,0,43
