inference_time,model
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
8.703768253326416e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.14388084411621e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
5.43445348739624e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
2.7999281883239743e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
3.2573938369750977e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
2.4646520614624023e-05,model2d
0.0014169812202453611,model2d
0.0014169812202453611,model2d
0.0014169812202453611,model2d
0.0014169812202453611,model2d

